Date, Close, Volume, Open, High, Low
10/2/2019,$134.65 ,32001760,$136.25 ,$136.37 ,$133.58 
10/1/2019,$137.07 ,22581930,$139.66 ,$140.25 ,$137 
9/30/2019,$139.03 ,18430390,$138.05 ,$139.22 ,$137.78 
9/27/2019,$137.73 ,22498960,$140.15 ,$140.36 ,$136.65 
9/26/2019,$139.54 ,17813510,$139.44 ,$140.18 ,$138.44 
9/25/2019,$139.36 ,22544050,$137.50 ,$139.96 ,$136.03 
9/24/2019,$137.38 ,30016670,$140.36 ,$140.69 ,$136.88 
9/23/2019,$139.14 ,17408370,$139.23 ,$139.63 ,$138.44 
9/20/2019,$139.44 ,40040770,$141.01 ,$141.65 ,$138.25 
9/19/2019,$141.07 ,36095410,$140.30 ,$142.37 ,$140.07 
9/18/2019,$138.52 ,24473390,$137.36 ,$138.67 ,$136.53 
9/17/2019,$137.39 ,17976290,$136.96 ,$137.52 ,$136.43 
9/16/2019,$136.33 ,16731440,$135.83 ,$136.70 ,$135.66 
9/13/2019,$137.32 ,23363060,$137.78 ,$138.06 ,$136.57 
9/12/2019,$137.52 ,27009980,$137.85 ,$138.42 ,$136.87 
9/11/2019,$136.12 ,24726120,$135.91 ,$136.27 ,$135.09 
9/10/2019,$136.08 ,28903380,$136.80 ,$136.89 ,$134.51 
9/9/2019,$137.52 ,25773930,$139.59 ,$139.75 ,$136.46 
9/6/2019,$139.10 ,20824500,$140.03 ,$140.18 ,$138.20 
9/5/2019,$140.05 ,26119520,$139.11 ,$140.38 ,$138.76 
9/4/2019,$137.63 ,18015310,$137.30 ,$137.69 ,$136.48 
9/3/2019,$136.04 ,18880770,$136.61 ,$137.20 ,$135.70 
8/30/2019,$137.86 ,23946120,$139.15 ,$139.18 ,$136.27 
8/29/2019,$138.12 ,20179720,$137.25 ,$138.44 ,$136.91 
8/28/2019,$135.56 ,17410830,$134.88 ,$135.76 ,$133.55 
8/27/2019,$135.74 ,23115640,$136.39 ,$136.72 ,$134.66 
8/26/2019,$135.45 ,20325270,$134.99 ,$135.56 ,$133.90 
8/23/2019,$133.39 ,38515390,$137.19 ,$138.35 ,$132.80 
8/22/2019,$137.78 ,18709660,$138.66 ,$139.20 ,$136.29 
8/21/2019,$138.79 ,14982310,$138.55 ,$139.49 ,$138 
8/20/2019,$137.26 ,21189000,$138.21 ,$138.71 ,$137.24 
8/19/2019,$138.41 ,24370540,$137.86 ,$138.55 ,$136.89 
8/16/2019,$136.13 ,25026150,$134.88 ,$136.46 ,$134.72 
8/15/2019,$133.68 ,28125420,$134.39 ,$134.58 ,$132.25 
8/14/2019,$133.98 ,32527250,$136.36 ,$136.92 ,$133.67 
8/13/2019,$138.60 ,25496590,$136.05 ,$138.80 ,$135 
8/12/2019,$135.79 ,20484350,$137.07 ,$137.86 ,$135.24 
8/9/2019,$137.71 ,23466700,$138.61 ,$139.38 ,$136.46 
8/8/2019,$138.89 ,27496510,$136.60 ,$138.99 ,$135.93 
8/7/2019,$135.28 ,33414540,$133.79 ,$135.65 ,$131.83 
8/6/2019,$134.69 ,32696650,$133.80 ,$135.68 ,$133.21 
8/5/2019,$132.21 ,42749550,$133.30 ,$133.93 ,$130.78 
8/2/2019,$136.90 ,30791620,$138.09 ,$138.32 ,$135.26 
