Date, Close, Open, High, Low, Volume
7/5/2019,1942.91,1928.6,1945.9,1925.3,2628359
7/3/2019,1939,1935.89,1941.59,1930.5,1690294
7/2/2019,1934.31,1919.38,1934.79,1906.63,2651299
7/1/2019,1922.19,1922.98,1929.82,1914.66,3203347
6/28/2019,1893.63,1909.1,1912.94,1884,3037358
6/27/2019,1904.28,1902,1911.24,1898.04,2141721
6/26/2019,1897.83,1892.48,1903.8,1887.32,2441910
6/25/2019,1878.27,1911.84,1916.39,1872.42,3012347
6/24/2019,1913.9,1912.66,1916.86,1901.3,2282969
6/21/2019,1911.3,1916.1,1925.95,1907.58,3933576
6/20/2019,1918.19,1933.33,1935.2,1905.8,3217153
6/19/2019,1908.79,1907.84,1919.58,1892.47,2895347
6/18/2019,1901.37,1901.35,1921.67,1899.79,3895728
6/17/2019,1886.03,1876.5,1895.69,1875.45,2634342
6/14/2019,1869.67,1864,1876,1859,2851163
6/13/2019,1870.3,1866.72,1883.09,1862.22,2795810
6/12/2019,1855.32,1853.98,1865,1844.38,2678335
6/11/2019,1863.7,1883.25,1893.7,1858,4042694
6/10/2019,1860.63,1822,1884.87,1818,5371007
6/7/2019,1804.03,1763.7,1806.25,1759.49,4808246
6/6/2019,1754.36,1737.71,1760,1726.13,3689272
6/5/2019,1738.5,1749.6,1752,1715.25,4239782
6/4/2019,1729.56,1699.24,1730.82,1680.89,5679121
6/3/2019,1692.69,1760.01,1766.29,1672,9098708
5/31/2019,1775.07,1790.01,1795.59,1772.7,4618819
5/30/2019,1816.32,1825.49,1829.47,1807.83,3146850
5/29/2019,1819.19,1823.12,1830,1807.53,4279025
5/28/2019,1836.43,1832.75,1849.27,1827.35,3199965
5/24/2019,1823.28,1835.89,1841.76,1817.85,3369673
5/23/2019,1815.48,1836.59,1844,1804.2,4424265
5/22/2019,1859.68,1851.78,1871.49,1851,2936601
5/21/2019,1857.52,1874.79,1879,1846,4005122
5/20/2019,1858.97,1852.69,1867.78,1835.54,3798198
5/17/2019,1869,1893.05,1910.53,1867.33,4736618
5/16/2019,1907.57,1885.94,1917.51,1882.29,4707822
5/15/2019,1871.15,1827.95,1874.43,1823,4692642
5/14/2019,1840.12,1839.5,1852.44,1815.75,4629107
5/13/2019,1822.68,1836.56,1846.54,1818,5783410
5/10/2019,1889.98,1898,1903.79,1856,5717994
5/9/2019,1899.87,1900,1909.4,1876,5308263
5/8/2019,1917.77,1918.87,1935.37,1910,4078568
5/7/2019,1921,1939.99,1949.1,1903.38,5902134
5/6/2019,1950.55,1917.98,1959,1910.5,5417841
5/3/2019,1962.46,1949,1964.4,1936,6381564
5/2/2019,1900.82,1913.33,1921.55,1881.87,3962915
5/1/2019,1911.52,1933.09,1943.64,1910.55,3116964
4/30/2019,1926.52,1930.1,1935.71,1906.95,3492929
4/29/2019,1938.43,1949,1956.34,1934.09,4000052
4/26/2019,1950.63,1929,1951,1898,8396605
4/25/2019,1902.25,1917,1922.45,1900.31,5625972
4/24/2019,1901.75,1925,1929.69,1898.16,3618382
4/23/2019,1923.77,1891.2,1929.26,1889.58,4632169
4/22/2019,1887.31,1855.4,1888.42,1845.64,3361162
4/18/2019,1861.69,1868.79,1870.82,1859.48,2745002
4/17/2019,1864.82,1872.99,1876.47,1860.44,2838130
4/16/2019,1863.04,1851.35,1869.77,1848,3036907
4/15/2019,1844.87,1842,1846.85,1818.9,3710653
4/12/2019,1843.06,1848.4,1851.5,1841.3,3090899
4/11/2019,1844.07,1848.7,1849.95,1840.31,2623197
4/10/2019,1847.33,1841,1848,1828.81,2951939
4/9/2019,1835.84,1845.49,1853.09,1831.78,3703283
4/8/2019,1849.86,1833.23,1850.2,1825.11,3745428
4/5/2019,1837.28,1829,1838.58,1825.19,3628458
4/4/2019,1818.86,1820.65,1828.75,1804.2,3614013
4/3/2019,1820.7,1826.72,1830,1809.62,3923043
4/2/2019,1813.98,1811.02,1820,1805.12,3435556
4/1/2019,1814.19,1800.11,1815.67,1798.73,4173480
3/29/2019,1780.75,1786.58,1792.86,1776.63,3316831
3/28/2019,1773.42,1770,1777.93,1753.47,3030860
3/27/2019,1765.7,1784.13,1787.5,1745.68,4316646
3/26/2019,1783.76,1793,1805.77,1773.36,4848654
3/25/2019,1774.26,1757.79,1782.68,1747.5,5098182
3/22/2019,1764.77,1810.17,1818.98,1763.11,6347858
3/21/2019,1819.26,1796.26,1823.75,1787.28,5740075
3/20/2019,1797.27,1769.94,1799.5,1767.03,6153806
3/19/2019,1761.85,1753.51,1784.16,1753.51,6339232
3/18/2019,1742.15,1712.7,1750,1712.63,5403392
3/15/2019,1712.36,1703,1718.8,1693.13,7538300
3/14/2019,1686.22,1691.2,1702,1684.34,2937759
3/13/2019,1690.81,1683,1700,1679.35,3540837
3/12/2019,1673.1,1669,1684.27,1660.98,3562993
3/11/2019,1670.62,1626.12,1672.29,1626.01,3797298
3/8/2019,1620.8,1604.01,1622.72,1586.57,4659945
3/7/2019,1625.95,1667.37,1669.75,1620.51,4945564
3/6/2019,1668.95,1695.97,1697.75,1668.28,3984996
3/5/2019,1692.43,1702.95,1707.8,1689.01,3667977
3/4/2019,1696.17,1685,1709.43,1674.36,6154237
3/1/2019,1671.73,1655.13,1674.26,1651,4661618
